Baseline Natural Flux	Atmospheric Lifetime of N2O	Effective Sensitivity of Temperature on N2O Flux	
   9488477.1	    197.4914	        0.06	
   9530789.6	   199.47588	  0.03190956	
    10549736	   181.15648	 0.040258198	
   9243115.2	   199.77633	        0.06	
    10262898	   183.80291	        0.06	
   9619816.8	   192.37377	        0.06	
   9824058.4	   189.26253	        0.06	
    12608759	   156.14639	 0.053616509	
   9514548.5	   196.74987	 0.037350291	
     9545827	   192.50201	        0.06	
   9488477.1	    197.4914	        0.06	
   9530789.6	   199.47588	  0.03190956	
   9960602.6	   190.69356	 0.040254357	
   9243115.2	   199.77633	        0.06	
    10262898	   183.80291	        0.06	
   9619816.8	   192.37377	        0.06	
   9824058.4	   189.26253	        0.06	
    12608759	   156.14639	 0.053616509	
   9514548.5	   196.74987	 0.037350291	
     9545827	   192.50201	        0.06	
   9488477.1	    197.4914	        0.06	
   9530789.6	   199.47588	  0.03190956	
   9960602.6	   190.69356	 0.040254357	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9619816.8	   192.37377	        0.06	
   9824058.4	   189.26253	        0.06	
    12608759	   156.14639	 0.053616509	
   9514548.5	   196.74987	 0.037350291	
     9545827	   192.50201	        0.06	
   9488477.1	    197.4914	        0.06	
   9530789.6	   199.47588	  0.03190956	
   9960602.6	   190.69356	 0.040254357	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9619816.8	   192.37377	        0.06	
   9806085.1	   189.71772	        0.06	
    12608759	   156.14639	 0.053616509	
   9514548.5	   196.74987	 0.037350291	
     9545827	   192.50201	        0.06	
   9488477.1	    197.4914	        0.06	
   9530789.6	   199.47588	  0.03190956	
   9960602.6	   190.69356	 0.040254357	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9619816.8	   192.37377	        0.06	
   9806085.1	   189.71772	        0.06	
    12608759	   156.14639	 0.053616509	
   9514548.5	   196.74987	 0.037350291	
     9545827	   192.50201	        0.06	
   9488477.1	    197.4914	        0.06	
   9530789.6	   199.47588	  0.03190956	
   9960602.6	   190.69356	 0.040254357	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9619816.8	   192.37377	        0.06	
   9806085.1	   189.71772	        0.06	
    12608759	   156.14639	 0.053616509	
   9514548.5	   196.74987	 0.037350291	
     9545827	   192.50201	        0.06	
   9282253.6	   199.76071	        0.06	
   9472671.7	   198.27933	 0.047578713	
   9960602.6	   190.69356	 0.040254357	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9619816.8	   192.37377	        0.06	
   9806085.1	   189.71772	        0.06	
    12608759	   156.14639	 0.053616509	
   9514548.5	   196.74987	 0.037350291	
     9545827	   192.50201	        0.06	
   9282253.6	   199.76071	        0.06	
   9472671.7	   198.27933	 0.047578713	
   9960602.6	   190.69356	 0.040254357	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9619816.8	   192.37377	        0.06	
   9806085.1	   189.71772	        0.06	
    12608759	   156.14639	 0.053616509	
   9514548.5	   196.74987	 0.037350291	
     9545827	   192.50201	        0.06	
